Geneid	Control_1	Control_2	Treated_1	Treated_2
NM_144269.4	3	1	36	28
NM_132075.4	12	30	82	67
NM_143705.3	1	1	0	1
NM_206632.3	2	4	19	24
NM_001298008.1	1	0	8	9
NR_123811.1	0	0	2	4
NM_132078.2	0	1	10	5
NM_001298009.1	0	2	0	2
NM_132079.4	8	36	128	143
NM_132080.4	553	488	2298	2266
NM_001031870.2	0	0	2	2
NM_001298010.1	0	2	0	2
NM_132083.4	8	20	236	286
NM_132084.3	14	14	94	132
NM_132085.2	2	0	6	4
NM_001298013.1	2	2	38	28
NM_132089.4	83	75	351	338
NM_132091.3	35	120	19	27
NM_078505.4	0	0	0	4
NM_132092.3	0	0	4	4
NR_123812.1	0	0	3	3
NM_078506.3	0	0	4	3
NM_001272346.1	2	0	5	4
NM_132095.4	19	44	266	257
NM_132096.5	16	22	115	112
NM_078507.2	0	0	10	4
NM_001298016.1	0	4	5	3
NM_078508.6	0	1	4	2
NM_078509.3	52	32	150	172
NM_206636.2	38	38	286	257
NR_073634.1	0	0	2	0
NM_132101.4	0	0	0	2
NM_001258621.2	0	0	0	2
NR_123813.1	0	0	1	0
NM_132104.4	28	34	278	305
NM_167080.2	0	0	0	1
NM_132107.4	20	36	502	485
NM_001258622.2	1	2	7	1
NM_132108.3	18	28	47	53
NM_132109.2	52	38	338	322
NM_078510.3	20	44	186	218
NM_001031877.2	0	0	0	1
NM_132110.2	2	1	11	21
NM_132111.3	3	20	35	39
NM_167081.3	3	5	28	28
NM_167082.4	3	7	10	13
NM_001298024.1	0	1	3	0
NM_132113.4	8	13	36	68
NM_132114.2	0	0	0	2
NM_001298026.1	1	0	11	5
NM_132115.3	5	3	49	50
NM_132116.4	0	0	17	36
NM_001298030.1	3	1	195	251
NM_001298028.1	0	0	0	2
NR_047772.1	0	0	5	16
NM_132118.3	1	1	5	6
NR_002463.2	0	0	1	3
NR_002464.2	1	0	4	3
NR_003729.1	1	0	6	2
NR_003730.1	1	0	10	4
NR_123814.1	2	0	2	1
NR_123815.1	0	0	12	12
NM_132120.2	1	0	8	4
NR_047774.1	1	1	30	37
NM_143710.3	20	36	499	570
NM_176694.3	0	2	0	1
NM_001272364.1	1	3	0	0
NM_001272362.1	0	0	2	0
NM_167093.2	0	0	0	1
NM_132126.3	4	18	193	190
NM_132127.4	8	26	104	82
NM_132128.3	0	0	0	2
NM_001298038.1	5	2	33	40
NM_132130.2	0	0	1	2
NM_001169211.2	16	23	222	245
NM_132132.3	27	38	272	303
NM_132133.3	23	32	68	77
NM_132134.4	1	0	3	6
NM_001298040.1	1	1	2	1
NR_123816.1	0	0	0	2
NM_001298042.1	0	0	1	0
NM_001298041.1	0	0	1	0
NM_001272366.1	1	0	22	9
NM_167100.3	10	25	209	183
NM_132143.3	2	2	6	2
NM_132144.3	26	38	77	94
NM_001258628.3	6	15	54	67
NM_080085.5	15	7	26	47
NM_132145.4	30	38	134	96
NM_176699.3	1	0	2	2
NM_001272372.1	0	7	15	29
NM_001272373.1	0	0	4	2
NM_001298045.1	0	0	0	1
NM_132149.4	0	0	2	0
NM_132150.3	0	2	2	4
NM_132152.1	5	4	12	10
NM_167115.3	0	0	5	5
NM_167116.2	0	1	4	5
NM_001169218.3	0	0	2	1
NM_132154.3	10	17	78	105
NM_001272379.1	2	0	3	4
NM_132156.3	16	20	245	299
NM_078513.3	2	8	9	5
NM_001298047.1	0	0	1	2
NM_001298048.1	2	6	11	15
NM_001298049.1	0	0	5	3
NM_078514.4	12	20	46	86
NM_132162.4	18	30	164	179
NM_132163.4	51	76	472	505
NM_206637.4	2	4	9	22
NM_001201627.1	0	0	4	0
NM_001272381.2	5	0	48	52
NM_001258636.2	0	0	2	3
NM_001272383.1	0	0	5	6
